שכונה,קוד שכונה,רחוב,סמל רחוב
גבעת שאול,140,דוד הראובני,932
גבעת שאול,140,האי גאון,990
גבעת שאול,140,העילוי,1090
גבעת שאול,140,הרב אהרון קוטלר,966
גבעת שאול,140,הרב בן ציון קואינ,934
גבעת שאול,140,הרב ניסים ד. עזרא,909
גבעת שאול,140,הרב פנחס קהתי,943
גבעת שאול,140,הרב ריינס,1300
גבעת שאול,140,הרב שרירא גאון,988
גבעת שאול,140,חיים ויטל,906
גבעת שאול,140,יהושוע פרבשטיין,1023
גבעת שאול,140,יונתן בן עוזיאל,905
גבעת שאול,140,ימין אבות,935
גבעת שאול,140,כנפי נשרים,995
גבעת שאול,140,כתב סופר,991
גבעת שאול,140,משה קורדובירו,933
גבעת שאול,140,נחום חפצדי,947
גבעת שאול,140,נטרונאי גאון,989
גבעת שאול,140,סמטת ברנוביץ, 
גבעת שאול,140,עזריאל,1138
גבעת שאול,140,עמרם גאון,904
גבעת שאול,140,עקיבא אזולאי,929
גבעת שאול,140,פועה,972
גבעת שאול,140,רבי ישראל נג'ארה,930
גבעת שאול,140,שדרות בן גוריון,941
גבעת שאול,140,שדרות המאירי,1020
גבעת שאול,140,שלמה אלקבץ,931
גבעת שאול,140,שערי ירושלים,899
גבעת שאול,140,תוספות יום טוב,196
גילה,188,60,4416
גילה,188,א סאפא,4358
גילה,188,אברהם יערי,4537
גילה,188,אגמון,4559
גילה,188,אודם,4577
גילה,188,אחלמה,4560
גילה,188,איילה,4569
גילה,188,אלמוג,4576
גילה,188,אפרסמון,4178
גילה,188,אריה בן אליעזר,4554
גילה,188,בושם,4562
גילה,188,ברקת,4567
גילה,188,גבעת קנדה,6852
גילה,188,דב יוסף,1435
גילה,188,דגן,4578
גילה,188,דרך חברון,1714
גילה,188,האזוב,4547
גילה,188,האחות יהודית,4535
גילה,188,האנפה,4542
גילה,188,הגומא,4541
גילה,188,הגלעינית,4852
גילה,188,הגננת,4539
גילה,188,הגפן,4573
גילה,188,הדבש,4571
גילה,188,הדולב,4563
גילה,188,הדמומית,5448
גילה,188,הזהבית,4854
גילה,188,החבוש,4532
גילה,188,החסידה,4556
גילה,188,הכרפס,5201
גילה,188,המור,4179
גילה,188,המחנכת,5460
גילה,188,המרגלית,4544
גילה,188,הנופך,4564
גילה,188,הסיגלית,4850
גילה,188,הסנונית,4549
גילה,188,הסתוונית,4851
גילה,188,הצבעוני,4853
גילה,188,הצבר,4572
גילה,188,הצוף,4193
גילה,188,הציפורן,5452
גילה,188,הקורא,4548
גילה,188,הרב דוד אלטשולר,1814
גילה,188,הרדוף,5453
גילה,188,הרוזמרין,4550
גילה,188,השיש,4540
גילה,188,השליו,4546
גילה,188,התאנה,4545
גילה,188,התבלין,5463
גילה,188,ורדינון,4180
גילה,188,יהודה אונטרמן,4451
גילה,188,יהושע ברוכי,5461
גילה,188,יהלום,4566
גילה,188,יעקב ברמן,4574
גילה,188,יפה רום,4543
גילה,188,יצהר,4579
גילה,188,יקינטון,5449
גילה,188,כמון,5450
גילה,188,לבונה,4181
גילה,188,ליש,4570
גילה,188,לשם,4599
גילה,188,מבוא בשמת,4190
גילה,188,מבוא הדודאים,4186
גילה,188,מבוא הלוט,4552
גילה,188,מבוא הצרי,4184
גילה,188,מבוא הקינמון,4183
גילה,188,מבוא הקנה,4551
גילה,188,מבוא יסמין,4189
גילה,188,מבוא נטף,4188
גילה,188,מבוא קטורה,4187
גילה,188,מבוא קידה,4192
גילה,188,מבוא קציעה,4185
גילה,188,מבוא שרף,4191
גילה,188,מרווה,5454
גילה,188,משה יוסטמן,4553
גילה,188,נשר,4557
גילה,188,עירית,5451
גילה,188,פרופ' יעקב פולוצק,4538
גילה,188,צאלים,4561
גילה,188,צביה ויצחק,4565
גילה,188,רפאל דה לה פרגולה,5462
גילה,188,שבו,4568
גילה,188,שבתאי הנגבי,4182
גילה,188,שוהם,5101
גילה,188,שלמה דוגה,5022
גילה,188,שמיר,4580
גילה,188,תירוש,4558
גילה,188,תרשיש,4555
הבוכרים,54,אבינדב,202
הבוכרים,54,אביתר הכהן,233
הבוכרים,54,אברהם תלמודי,128
הבוכרים,54,אדוניהו הכהן,124
הבוכרים,54,בן ציון גול,129
הבוכרים,54,בצלאל אשכנזי,119
הבוכרים,54,בר אילן,301
הבוכרים,54,דוד חזן,130
הבוכרים,54,דוד פרידמן,153
הבוכרים,54,חיים פרחי,131
הבוכרים,54,יואל,123
הבוכרים,54,יוסף קארו,117
הבוכרים,54,יחזקאל,101
הבוכרים,54,ירחמיאל אמדורסקי,148
הבוכרים,54,ירמיהו,937
הבוכרים,54,ישא ברכה,127
הבוכרים,54,ישראל אהרון פישל,103
הבוכרים,54,מבוא כנסת מרדכי,158
הבוכרים,54,נחמיה,313
הבוכרים,54,עזרא,126
הבוכרים,54,עלי הכהן,314
הבוכרים,54,פיתוחי חותם,237
הבוכרים,54,צפניה,303
הבוכרים,54,רבנו גרשום,121
הבוכרים,54,רחובות הבוכרים,125
הבוכרים,54,שלמה מוסיוף,122
הבוכרים,54,שמואל הנביא,116
הבוכרים,54,שמשון פולנסקי,120
הגבעה הצרפתי,552,אבא ברדיצ'ב,3058
הגבעה הצרפתי,552,אהרון קציר,4360
הגבעה הצרפתי,552,אל אסמאעי,4639
הגבעה הצרפתי,552,אצ''ל,4315
הגבעה הצרפתי,552,בר כוכבא,249
הגבעה הצרפתי,552,ג'ורג' אדם סמית,4651
הגבעה הצרפתי,552,דרך האלוף עוזי נר,4762
הגבעה הצרפתי,552,דרך מעלה אדומים,7001
הגבעה הצרפתי,552,דרך ענתות,4801
הגבעה הצרפתי,552,דרך שועפאת,4101
הגבעה הצרפתי,552,ההגנה,4316
הגבעה הצרפתי,552,ההתנדבויות,3057
הגבעה הצרפתי,552,החי''ל,3060
הגבעה הצרפתי,552,חזון יצחק, 
הגבעה הצרפתי,552,חיים יסקי, 
הגבעה הצרפתי,552,טיילת בר כוכבא, 
הגבעה הצרפתי,552,יגאל ידין,4773
הגבעה הצרפתי,552,יציאה לדרך שועפא, 
הגבעה הצרפתי,552,יציאה לכביש 60, 
הגבעה הצרפתי,552,יציאה למחלף שער מ, 
הגבעה הצרפתי,552,יציאה לרחוב יגאל, 
הגבעה הצרפתי,552,לוחמי הגטאות,4313
הגבעה הצרפתי,552,לח''י,4324
הגבעה הצרפתי,552,מבוא גולי קניה,3052
הגבעה הצרפתי,552,מבוא דב הררי,3059
הגבעה הצרפתי,552,מבוא דקר,3051
הגבעה הצרפתי,552,מבוא המאבק,4312
הגבעה הצרפתי,552,מבוא הנח''ל, 
הגבעה הצרפתי,552,מבוא העשרה,3053
הגבעה הצרפתי,552,מבוא הפרטיזנים,3054
הגבעה הצרפתי,552,מבוא נהגי הפרדות,3056
הגבעה הצרפתי,552,מבוא פלי''ם,4314
הגבעה הצרפתי,552,מנהרת לוי אשכול, 
הגבעה הצרפתי,552,מעונות אידלסון, 
הגבעה הצרפתי,552,משולש ברמודה, 
הגבעה הצרפתי,552,שדרות האוניברסיט,4393
הגבעה הצרפתי,552,שדרות חיים ברלב,4113
הגבעה הצרפתי,552,שדרות לוי אשכול,4276
הגבעה הצרפתי,552,שדרות משה דיין,4753
הגבעה הצרפתי,552,שלום הגליל,1872
הגבעה הצרפתי,552,ששת הימים,4283
הולילנד,748,אברהם פררה,1175
הולילנד,748,ברוך דובדבני,1195
הולילנד,748,גדעון האוזנר,1170
הולילנד,748,גולומב,1307
הולילנד,748,גשר הולילנד, 
הולילנד,748,דרך אגודת ספורט ב,1451
הולילנד,748,יציאה לרחוב גולו, 
הולילנד,748,מיכאל אבי יונה,1137
הולילנד,748,מיכאל בן חנן,1411
הולילנד,748,נזר דוד,1126
הולילנד,748,פרץ ברנשטיין,1359
הולילנד,748,שדרות מנחם בגין,1105
הכפר השבדי,212,הנרייטה סולד,1215
הכפר השבדי,212,כפר שלמא הכפר השו, 
המושבה היוונ,356,אבישי,1642
המושבה היוונ,356,אבנר בן נר,1672
המושבה היוונ,356,אלעזר המודעי,1323
המושבה היוונ,356,אמציה,1633
המושבה היוונ,356,אסא,1635
המושבה היוונ,356,בניהו,1644
המושבה היוונ,356,גנרל פייר קניג,1787
המושבה היוונ,356,חזקיהו המלך,1601
המושבה היוונ,356,יהואש,1643
המושבה היוונ,356,יהושע בן נון,1631
המושבה היוונ,356,יהושפט,157
המושבה היוונ,356,יואב,1645
המושבה היוונ,356,יונתן,1638
המושבה היוונ,356,יותם,1632
המושבה היוונ,356,מישאל,1640
המושבה היוונ,356,עוזיה,1634
המושבה היוונ,356,עזריה,1646
המושבה היוונ,356,עמק רפאים,1636
המושבה היוונ,356,רבן יוחנן בן זכאי,1321
המושבה היוונ,356,רחל אמנו,1621
המושבה היוונ,356,ריש לקיש,1324
הקריות החסיד,732,אוהל יהושע,4903
הקריות החסיד,732,אמרי בינה,986
הקריות החסיד,732,בינת יששכר,4904
הקריות החסיד,732,דברי חיים,993
הקריות החסיד,732,דובר שלום,4902
הקריות החסיד,732,דורש טוב,397
הקריות החסיד,732,הרב סורוצקין,952
הקריות החסיד,732,זית רענן,987
הקריות החסיד,732,יוסף גבאי,967
הקריות החסיד,732,יעקובזון,395
הקריות החסיד,732,יציאה למחלף גולד, 
הקריות החסיד,732,יציאה לשדרות מנח, 
הקריות החסיד,732,מנחם משיב,1046
הקריות החסיד,732,מענה שמחה,958
הקריות החסיד,732,פנים מאירות,965
הקריות החסיד,732,קדושת אהרון,4905
הקריות החסיד,732,קרית מדע,6830
הקריות החסיד,732,שדרות גולדה מאיר,4452
הקריות החסיד,732,שדרות מנחם בגין,1105
הקריות החסיד,732,שלמה מומו הלוי,4702
הקריות החסיד,732,שנירר,999
הקריות החסיד,732,שפע חיים,398
הקריות החסיד,732,תורת חסד,994
הר הזיתים,224,אל מנסוריה,5585
הר הזיתים,224,דרך א טור שמואל ב,4281
הר הזיתים,224,דרך העופל,4339
הר הזיתים,224,דרך השילוח,3800
הר הזיתים,224,דרך יריחו,4146
הר הזיתים,224,דרך שער האריות,5582
הר הזיתים,224,המשעול האחרון,4290
הר הזיתים,224,טיילת העופל, 
הר הזיתים,224,מעלה הכוהנים, 
הר הזיתים,224,סולטאן סולימאן,4275
הר הזיתים,224,רבעה אל עדוויה,5584
הר החוצבים,244,1, 
הר החוצבים,244,א.ש. הרטום,5503
הר החוצבים,244,בן ציון אטון,241
הר החוצבים,244,ד''ר גבי אשכר, 
הר החוצבים,244,המבריא,5535
הר החוצבים,244,המרפא,5501
הר החוצבים,244,הרב יצחק פלקסר,5533
הר החוצבים,244,חניון בק טק, 
הר החוצבים,244,יגאל ידין,4773
הר החוצבים,244,יציאה להר חוצבים, 
הר החוצבים,244,יציאה למחלף יגאל, 
הר החוצבים,244,יציאה לרחוב יגאל, 
הר החוצבים,244,יציאה לשדרות גול, 
הר החוצבים,244,יציאה לשדרות מנח, 
הר החוצבים,244,קרית מדע,6830
הר החוצבים,244,שדרות גולדה מאיר,4452
הר החוצבים,244,שדרות מנחם בגין,1105
הר החוצבים,244,שלמה מומו הלוי,4702
הר החוצבים,244,שפע חיים,398
הר המנוחות,232,1, 
הר המנוחות,232,גבעת שאול,1143
הר המנוחות,232,יחיאל מ.שטיינברג,1136
הר המנוחות,232,יציאה לכביש 1, 
הר המנוחות,232,יציאה לשדרות בן ג, 
הר המנוחות,232,מעלה רומאים, 
הר המנוחות,232,שדרות בן גוריון,941
הר הצופים,236,אביגדור המאירי, 
הר הצופים,236,אהרון קציר,4360
הר הצופים,236,בנימין מזר,3020
הר הצופים,236,דרך א טור שמואל ב,4281
הר הצופים,236,דרך מנהרת הר הצופ, 
הר הצופים,236,הדסה למפל,3556
הר הצופים,236,החי''ל,3060
הר הצופים,236,ואדי אל ג'וז,4129
הר הצופים,236,זהרה,4153
הר הצופים,236,זלמן שוקן,4194
הר הצופים,236,ח'רובה,4710
הר הצופים,236,חיים יסקי, 
הר הצופים,236,יצחק הנדיב,4352
הר הצופים,236,לוחמי הגטאות,4313
הר הצופים,236,מנהרת האוניברסיט, 
הר הצופים,236,מרטין בובר,4359
הר הצופים,236,רבעה אל עדוויה,5584
הר הצופים,236,שדרות האוניברסיט,4393
הר הצופים,236,שדרות צ'רצ'יל,4340
הר הצופים,236,שדרות שיירת הר הצ,4392
הר הצופים,236,שומרי ההר,3554
הר הצופים,236,שייח' ענבר,5583
הר הרצל,240,בית וגן,1058
הר הרצל,240,דוד מרדכי מאיר,1904
הר הרצל,240,הזיכרון,1060
הר הרצל,240,יפה נוף,1051
הר הרצל,240,מגדים,1049
הר הרצל,240,שדרות הרצל,1021
הר נוף,248,אהרון ברנד,1157
הר נוף,248,בי''ח לתשושי נפש כ, 
הר נוף,248,בית הדפוס,895
הר נוף,248,בית יצחק,2202
הר נוף,248,דרך יוסף וייץ,893
הר נוף,248,האדמו''ר מבויאן,1152
הר נוף,248,האדמו''ר מרוז'ין,1158
הר נוף,248,האחווה,1193
הר נוף,248,הפלאה,890
הר נוף,248,הקבלן,1160
הר נוף,248,הרב אברהם דוד רוז, 
הר נוף,248,הרב דוד שפרבר,1164
הר נוף,248,הרב חזקיהו רבין,1161
הר נוף,248,הרב יצחק חי טייב,1070
הר נוף,248,הרב רפאל קצנלבוג,1155
הר נוף,248,הרב ש. שאולזון,983
הר נוף,248,הרב שאול אבן דנן,1156
הר נוף,248,הרב שמעון אגסי,1159
הר נוף,248,זרח ברנט,1154
הר נוף,248,מנחם מנדל משקלוב,1151
הר נוף,248,מעלות האדמו''ר מב,1163
הר נוף,248,סמינר נווה ירושל, 
הר נוף,248,פרנס,1153
הר ציון,252,ארוונה היבוסי,1811
הר ציון,252,גיא בן הינום, 
הר ציון,252,דרך חברון,1714
הר ציון,252,הר ציון,1715
הר ציון,252,חטיבת ירושלים,1833
הר ציון,252,חטיבת עציוני,4094
הר ציון,252,מלכי צדק,4269
הר ציון,252,מעלה השלום,4512
הר ציון,252,מעלה שז''כ, 
הר ציון,252,מעלות בני,1830
הרובע הארמני,260,אור החיים,4527
הרובע הארמני,260,אררט,4090
הרובע הארמני,260,ברקאי,4510
הרובע הארמני,260,דוד,4056
הרובע הארמני,260,היהודים,4528
הרובע הארמני,260,הכינור,4526
הרובע הארמני,260,המלאך,4511
הרובע הארמני,260,הנבל,4522
הרובע הארמני,260,הנוצרים,4321
הרובע הארמני,260,הפטריארכיה הארמנ,5804
הרובע הארמני,260,הקארדו,5576
הרובע הארמני,260,השופר,4523
הרובע הארמני,260,חב''ד,4365
הרובע הארמני,260,חניית דיירי הרוב, 
הרובע הארמני,260,חניית תושבי הרוב, 
הרובע הארמני,260,מוריסטאן,4082
הרובע הארמני,260,מנזר האשורים,4089
הרובע הארמני,260,מנזר המרוניטים,4091
הרובע הארמני,260,סידנא עומר, 
הרובע הארמני,260,סנט ג'יימס,4058
הרובע הארמני,260,סנט מרק,4084
הרובע הארמני,260,עומר בן אל ח'טאב,6020
הרובע הארמני,260,שוק הבשמים,4036
הרובע הארמני,260,שוק הצורפים,4038
הרובע הארמני,260,שוק הקצבים,4037
הרובע הארמני,260,שער השלשלת,4034
הרובע הארמני,260,תפארת ישראל,4901
הרובע היהודי,264,אל ואד הגיא,4004
הרובע היהודי,264,בוני החומה,4504
הרובע היהודי,264,בית אל,4367
הרובע היהודי,264,בית השואבה,4507
הרובע היהודי,264,ברקאי,4510
הרובע היהודי,264,בתי מחסה,4361
הרובע היהודי,264,גלעד,4362
הרובע היהודי,264,הביכורים,4515
הרובע היהודי,264,הגיתית,4519
הרובע היהודי,264,החצוצרות,4518
הרובע היהודי,264,היהודים,4528
הרובע היהודי,264,הכותל,5806
הרובע היהודי,264,הכרי,4057
הרובע היהודי,264,המצלתיים,4524
הרובע היהודי,264,המקובלים,4506
הרובע היהודי,264,המשוררים,4503
הרובע היהודי,264,העוגב,4521
הרובע היהודי,264,העומר,4514
הרובע היהודי,264,הקראים,4265
הרובע היהודי,264,הרב גץ,5808
הרובע היהודי,264,השוערים,4505
הרובע היהודי,264,השמינית,4520
הרובע היהודי,264,התופים,4525
הרובע היהודי,264,התמיד,4508
הרובע היהודי,264,חב''ד,4365
הרובע היהודי,264,חיי עולם,4266
הרובע היהודי,264,מדרגות מעלה א טאב, 
הרובע היהודי,264,מעלות הרב שלמה גו, 
הרובע היהודי,264,מעלות רבי יהודה ה,4501
הרובע היהודי,264,מעמדות ישראל,4530
הרובע היהודי,264,משגב לדך,4364
הרובע היהודי,264,משמרות הכהונה,4529
הרובע היהודי,264,נחמו,4516
הרובע היהודי,264,סידנא עומר, 
הרובע היהודי,264,סמטת לוחמי הרובע,4368
הרובע היהודי,264,פלוגת הכותל,4311
הרובע היהודי,264,שבות,4517
הרובע היהודי,264,שוני הלכות,4513
הרובע היהודי,264,שער השלשלת,4034
הרובע היהודי,264,תפארת ישראל,4901
הרובע המוסלמ,268,אבן ג'ראח,4076
הרובע המוסלמ,268,אל בוסטאמי,4018
הרובע המוסלמ,268,אל ביירק,4045
הרובע המוסלמ,268,אל ואד הגיא,4004
הרובע המוסלמ,268,אל ח'אלידיה,4043
הרובע המוסלמ,268,אל מאלוויה,4020
הרובע המוסלמ,268,אל מועזמיה,5803
הרובע המוסלמ,268,אל עומרי,4013
הרובע המוסלמ,268,אל קירמי,4041
הרובע המוסלמ,268,אנטוניה,5801
הרובע המוסלמ,268,בורג' לקלק,4011
הרובע המוסלמ,268,בית הבד,4035
הרובע המוסלמ,268,בנק הדם, 
הרובע המוסלמ,268,ברקוק,4030
הרובע המוסלמ,268,דרך חב רא'מן,4015
הרובע המוסלמ,268,דרך שער האריות,5582
הרובע המוסלמ,268,החסידות,5574
הרובע המוסלמ,268,הכרי,4057
הרובע המוסלמ,268,המלך פייסל,4028
הרובע המוסלמ,268,הנזירות,4008
הרובע המוסלמ,268,הסהר,5571
הרובע המוסלמ,268,הצריח האדום,4010
הרובע המוסלמ,268,הקמרונים,5572
הרובע המוסלמ,268,הרמכים,4025
הרובע המוסלמ,268,ויה דולורוזה,4002
הרובע המוסלמ,268,חארת א סעידיה,4022
הרובע המוסלמ,268,מעלה התות,4047
הרובע המוסלמ,268,סוק אל קטאנין,4033
הרובע המוסלמ,268,סלחייה,4012
הרובע המוסלמ,268,ע'וואנימה,4029
הרובע המוסלמ,268,עלאא' א דין,4031
הרובע המוסלמ,268,עקבת א סראיה,4040
הרובע המוסלמ,268,עקבת א תאקיה מעלו,4044
הרובע המוסלמ,268,פונדק ההודים,5573
הרובע המוסלמ,268,רימאן, 
הרובע המוסלמ,268,ריסאס,4024
הרובע המוסלמ,268,שדאד,4019
הרובע המוסלמ,268,שוק הבשמים,4036
הרובע המוסלמ,268,שוק הצבעים,4081
הרובע המוסלמ,268,שוק הצורפים,4038
הרובע המוסלמ,268,שוק הקצבים,4037
הרובע המוסלמ,268,שייח' חסן,4017
הרובע המוסלמ,268,שייח' לולו,4023
הרובע המוסלמ,268,שייח' ריחאן,4021
הרובע המוסלמ,268,שער הברזל,4032
הרובע המוסלמ,268,שער הפרחים,4154
הרובע המוסלמ,268,שער השלשלת,4034
הרובע הנוצרי,270,א סידה,4074
הרובע הנוצרי,270,אל ג'בשה,4071
הרובע הנוצרי,270,בית הבד,4035
הרובע הנוצרי,270,דמיטריוס הקדוש,4064
הרובע הנוצרי,270,האבטיחים,4075
הרובע הנוצרי,270,האחים פרר,4063
הרובע הנוצרי,270,הבורסקאים,4067
הרובע הנוצרי,270,המנזר האתיופי,5540
הרובע הנוצרי,270,הנוצרים,4321
הרובע הנוצרי,270,הפטריארכיה היוונ, 
הרובע הנוצרי,270,הפטריארכיה הלטינ,4066
הרובע הנוצרי,270,הקופטים,5802
הרובע הנוצרי,270,השליחים,5570
הרובע הנוצרי,270,השער החדש,4061
הרובע הנוצרי,270,ויה דולורוזה,4002
הרובע הנוצרי,270,חוואלידה, 
הרובע הנוצרי,270,חצר מר בוטרוס, 
הרובע הנוצרי,270,מוריסטאן,4082
הרובע הנוצרי,270,מעלות א ח'אנקה,4070
הרובע הנוצרי,270,משעול וורסווה, 
הרובע הנוצרי,270,סנט הלנה,4080
הרובע הנוצרי,270,סנט פיטר,4068
הרובע הנוצרי,270,סנט פרנציס,4069
הרובע הנוצרי,270,עומר בן אל ח'טאב,6020
הרובע הנוצרי,270,עופר מנשס, 
הרובע הנוצרי,270,עקבת א תאקיה מעלו,4044
הרובע הנוצרי,270,קאזה נובה,4062
הרובע הנוצרי,270,ריסאס,4024
הרובע הנוצרי,270,שביל סנט ג'ורג',4079
הרובע הנוצרי,270,שוק הצבעים,4081
הרובע הנוצרי,270,שוק הקצבים,4037
ואדי ג'וז,272,א טברי,4168
ואדי ג'וז,272,אבו בכר א סדיק,4424
ואדי ג'וז,272,אבו חניפה,4607
ואדי ג'וז,272,אבן טולון,4099
ואדי ג'וז,272,אהרון קציר,4360
ואדי ג'וז,272,אומרו אל קיס,4169
ואדי ג'וז,272,אימאם אל חנבלי,4608
ואדי ג'וז,272,אימאם אל מאלכי,4050
ואדי ג'וז,272,אל מוקדסי,4271
ואדי ג'וז,272,אל מותנבי,3600
ואדי ג'וז,272,בני אומיה,4609
ואדי ג'וז,272,דרך א טור שמואל ב,4281
ואדי ג'וז,272,דרך הר הזיתים,4177
ואדי ג'וז,272,ואדי אל ג'וז,4129
ואדי ג'וז,272,ח'אלד אבן אל וליד,4272
ואדי ג'וז,272,ח'ליף אל באלדי,4096
ואדי ג'וז,272,יצחק הנדיב,4352
ואדי ג'וז,272,יקות אל חמווי,4291
ואדי ג'וז,272,עות'מאן בן עפאן,4423
ואדי ג'וז,272,שדרות האוניברסיט,4393
ואדי ג'וז,272,שדרות שיירת הר הצ,4392
ואדי ג'וז,272,שמס א דין אסיוטי,4098
זכרון משה,288,אביגדורי,422
זכרון משה,288,אלפנדרי,332
זכרון משה,288,אפרים כהן,358
זכרון משה,288,בני ברית,403
זכרון משה,288,דוד ילין,376
זכרון משה,288,האמרכלים,360
זכרון משה,288,המביט,369
זכרון משה,288,הנביאים,348
זכרון משה,288,הרב אברמסקי,370
זכרון משה,288,הרב יצחק אורנשטי,382
זכרון משה,288,הרדב''ז,381
זכרון משה,288,חפץ חיים,344
זכרון משה,288,יוחנן הסנדלר,363
זכרון משה,288,יום טוב אלגזי,346
זכרון משה,288,יוסף בן מתתיהו,322
זכרון משה,288,יעקב מאיר,354
זכרון משה,288,יצחק פראג,423
זכרון משה,288,יצחק שולאל,355
זכרון משה,288,ישעיהו,349
זכרון משה,288,ישעיהו פרס,359
זכרון משה,288,כפר נחום,327
זכרון משה,288,מודיעין,323
זכרון משה,288,מיכאל וציפורה פי,345
זכרון משה,288,מלכי ישראל,305
זכרון משה,288,מנחם,329
זכרון משה,288,משה חגיז,352
זכרון משה,288,נחום,312
זכרון משה,288,נפחא,365
זכרון משה,288,נתן בירנבאום,356
זכרון משה,288,נתן שטראוס,350
זכרון משה,288,סולובייצ'יק,357
זכרון משה,288,סימה בליליוס,351
זכרון משה,288,פרי חדש,343
זכרון משה,288,ראול ולנברג,517
זכרון משה,288,רבנו תם,353
זכרון משה,288,רלב''ח,362
זכרון משה,288,רש''י,328
זכרון משה,288,שדי חמד,361
זכרון משה,288,שרעבי,364
זכרון משה,288,תחכמוני,321
חומת שמואל - ה,242,398, 
חומת שמואל - ה,242,איש מצליח,1802
חומת שמואל - ה,242,אליהו קורן,1897
חומת שמואל - ה,242,אלעזר מנחם גלרנט,1870
חומת שמואל - ה,242,אסתר רזיאל נאור,1943
חומת שמואל - ה,242,אריה ורשבסקי,1896
חומת שמואל - ה,242,הבבא סאלי,1940
חומת שמואל - ה,242,המהר''ל מפראג,1941
חומת שמואל - ה,242,הממציא,1888
חומת שמואל - ה,242,הקצין יחיאל לנגר, 
חומת שמואל - ה,242,הרב אברהם מרדכי ו,1898
חומת שמואל - ה,242,הרב אריה בינה,1930
חומת שמואל - ה,242,הרב דולגין, 
חומת שמואל - ה,242,הרב המקובל יצחק כ,1804
חומת שמואל - ה,242,הרב חסדאי קרשקש,1942
חומת שמואל - ה,242,הרב יצחק נסים,1887
חומת שמואל - ה,242,הרב כלפון משה הכה,1884
חומת שמואל - ה,242,הרב מן ההר,1932
חומת שמואל - ה,242,הרב רחמים חוויטה,1016
חומת שמואל - ה,242,זאב פלק,1892
חומת שמואל - ה,242,זרח ורהפטיג,193
חומת שמואל - ה,242,חיים מרינוב,1899
חומת שמואל - ה,242,יהודה לאו פיקרד,1889
חומת שמואל - ה,242,יעקב אבן חן,1933
חומת שמואל - ה,242,יצחק רפאל, 
חומת שמואל - ה,242,ליכטנשטיין,1891
חומת שמואל - ה,242,מנחם ברש,1931
חומת שמואל - ה,242,נחמה,4373
חומת שמואל - ה,242,נתן יעקב זלץ, 
חומת שמואל - ה,242,סול ליפצין,1885
חומת שמואל - ה,242,רפאל בר לביא,1895
חומת שמואל - ה,242,שאול אביגור,1890
חומת שמואל - ה,242,שדרות שמואל מאיר,1886
חומת שמואל - ה,242,שלמה באום,1893
חומת שמואל - ה,242,שמעון בן חמו,1894
יד ושם - הר הז,228,דוד מרדכי מאיר,1904
יד ושם - הר הז,228,דרך ישראל שוכמן,1019
יד ושם - הר הז,228,הזיכרון,1060
יד ושם - הר הז,228,יד ושם,1911
יד ושם - הר הז,228,שביל הצוקים,1489
ימין משה,300,דרור אליאל,1844
ימין משה,300,דרך חברון,1714
ימין משה,300,הבריכה,1709
ימין משה,300,הטחנה,1713
ימין משה,300,המבשר,1711
ימין משה,300,המגדל,1706
ימין משה,300,המצודה,1705
ימין משה,300,המשלט,1710
ימין משה,300,הצייר יעקב שטיינ,1845
ימין משה,300,התקווה,1703
ימין משה,300,חטיבת ירושלים,1833
ימין משה,300,חטיבת עציוני,4094
ימין משה,300,טורא,1707
ימין משה,300,ימין משה,1701
ימין משה,300,מלכי,1708
ימין משה,300,משכנות שאננים,6761
ימין משה,300,פול אמיל בוטה,1530
ימין משה,300,פלא יועץ,1704
ימין משה,300,פלט,1866
ימין משה,300,ר.ו. בדהאב,1700
ימין משה,300,ש.א. נכון,1849
כפר עקב,324,אל ארז, 
כפר עקב,324,אל אתרי, 
כפר עקב,324,אל בוטום, 
כפר עקב,324,אל בורתקאל, 
כפר עקב,324,אל בללוט, 
כפר עקב,324,אל ברקוק, 
כפר עקב,324,אל דאליה, 
כפר עקב,324,אל זמבק, 
כפר עקב,324,אל זערור, 
כפר עקב,324,אל זקוקיא, 
כפר עקב,324,אל חירוב, 
כפר עקב,324,אל חננון, 
כפר עקב,324,אל כרז, 
כפר עקב,324,אל לוז, 
כפר עקב,324,אל למון, 
כפר עקב,324,אל מוז, 
כפר עקב,324,אל מטאר,4172
כפר עקב,324,אל מטאר אל עלווי, 
כפר עקב,324,אל מטאר אל תחתי, 
כפר עקב,324,אל מישמש, 
כפר עקב,324,אל מנדלינה, 
כפר עקב,324,אל נחילה, 
כפר עקב,324,אל ספרג'ל, 
כפר עקב,324,אל צבר, 
כפר עקב,324,אל צנובר, 
כפר עקב,324,אל רוממאנה, 
כפר עקב,324,אל ריחן, 
כפר עקב,324,אל תין, 
כפר עקב,324,אל תפפאה, 
כפר עקב,324,אל תרונג', 
כפר עקב,324,דרך רמאאלה, 
כפר עקב,324,סמיר אמיס,4706
כפר עקב,324,ערוס אל עיאבה, 
כרם אברהם,332,אבינועם ילין,374
כרם אברהם,332,אברהם תלמודי,128
כרם אברהם,332,אשתורי הפרחי,366
כרם אברהם,332,הושע,302
כרם אברהם,332,הרב שמחה זיסל ברו,308
כרם אברהם,332,זכריה,310
כרם אברהם,332,חגי,307
כרם אברהם,332,חיים פרחי,131
כרם אברהם,332,יונה,306
כרם אברהם,332,יחזקאל,101
כרם אברהם,332,יעקב מאיר,354
כרם אברהם,332,ירמיהו,937
